Summarized_Name,Image_Link
A-1 Skyraider,<img src='https://upload.wikimedia.org/wikipedia/commons/9/9e/Douglas_A-1_Skyraider_%28AD-4NA%2C_126965%29_%287911148090%29.jpg' height='150px' width='150px' />
A-26 Invader,<img src='https://upload.wikimedia.org/wikipedia/commons/0/0e/Douglas_A26_Invader-2362.jpg' height='150px' width='150px' />
A-37 Dragonfly,<img src='https://upload.wikimedia.org/wikipedia/commons/7/79/OA-37B-1_%28centered%29.jpg' height='150px' width='150px' />
A-7 Corsair,<img src='https://upload.wikimedia.org/wikipedia/commons/6/6b/A-7E_Corsair_II_of_VA-146_in_flight_on_16_November_1974_%28NNAM.1996.253.7100.039%29.jpg' height='150px' width='150px' />
AC-47 Gunship I,<img src='https://upload.wikimedia.org/wikipedia/commons/2/2e/Douglas_AC-47.jpg' height='150px' width='150px' />
B-26 Invader,<img src='https://upload.wikimedia.org/wikipedia/commons/d/d2/Douglas_B-26K_Counter_Invader_USAF.jpg' height='150px' width='150px' />
B-52 Stratofortress,<img src='https://upload.wikimedia.org/wikipedia/commons/1/16/B-52_Stratofortress_assigned_to_the_307th_Bomb_Wing_%28cropped%29.jpg' height='150px' width='150px' />
B-57 Canberra,<img src='https://upload.wikimedia.org/wikipedia/commons/f/fc/Martin_B-57E-MA_55-4279_556th_Reconnaissance_Squadron_Kadena_AB_1970.jpg' height='150px' width='150px' />
B-66 Destroyer,<img src='https://upload.wikimedia.org/wikipedia/commons/d/d5/Douglas_EB-66E_Destroyer_in_flight_061103-F-1234P-006.jpg' height='150px' width='150px' />
C-119 Flying Boxcar,<img src='https://upload.wikimedia.org/wikipedia/commons/a/ae/Fairchild_C-119B_of_the_314th_Troop_Carrier_Group_in_flight%2C_1952_%28021001-O-9999G-016%29.jpg' height='150px' width='150px' />
C-123 Provider,<img src='https://upload.wikimedia.org/wikipedia/commons/c/cb/C-123K_19_ACS_over_Mekong_Delta_1969.jpg' height='150px' width='150px' />
C-130 Hercules,<img src='https://upload.wikimedia.org/wikipedia/commons/c/cc/Lockheed_C-130_Hercules.jpg' height='150px' width='150px' />
C-47 Skytrain,<img src='https://upload.wikimedia.org/wikipedia/commons/7/7f/C47_Skytrain_-_Duxford_D-Day_Show_2014_%28cropped%29.jpg' height='150px' width='150px' />
C-7 Caribou,<img src='https://upload.wikimedia.org/wikipedia/commons/c/ca/RAAF_Caribou_Vabre.jpg' height='150px' width='150px' />
F-100 Super Sabre,<img src='https://upload.wikimedia.org/wikipedia/commons/c/ce/F-100_Rogers_Dry_Lake.jpg' height='150px' width='150px' />
F-101 Voodoo,<img src='https://upload.wikimedia.org/wikipedia/commons/4/49/F-101B_New_York_ANG_in_flight_1978.jpeg' height='150px' width='150px' />
F-102 Delta Dagger,<img src='https://upload.wikimedia.org/wikipedia/commons/1/14/Convair_YF-102_FC-782.jpg' height='150px' width='150px' />
F-104 Starfighter,<img src='https://upload.wikimedia.org/wikipedia/commons/d/de/Lockheed_XF-104_%28modified%29.jpg' height='150px' width='150px' />
F-105 Thunderchief,<img src='https://upload.wikimedia.org/wikipedia/commons/f/fa/Republic_F-105D-30-RE_%28SN_62-4234%29_in_flight_with_full_bomb_load_060901-F-1234S-013.jpg' height='150px' width='150px' />
F-111 Aardvark,<img src='https://upload.wikimedia.org/wikipedia/commons/b/b3/AFR_F-111_air_to_air_refueling.jpg' height='150px' width='150px' />
F-4 Phantom,<img src='https://upload.wikimedia.org/wikipedia/commons/2/2b/QF-4_Holloman_AFB.jpg' height='150px' width='150px' />
F-5 Tiger,<img src='https://upload.wikimedia.org/wikipedia/commons/4/48/Northrop_F-5E_%28Tail_No._11419%29_%28cropped%29.jpg' height='150px' width='150px' />
HU-16 Albatross,<img src='https://upload.wikimedia.org/wikipedia/commons/b/bf/U.S._Navy_Grumman_HU-16.jpg' height='150px' width='150px' />
O-1 Bird Dog,<img src='https://upload.wikimedia.org/wikipedia/commons/0/03/Cessna_O-1A_Bird_Dog_US_Army_in_flight.jpg' height='150px' width='150px' />
O-2 Skymaster,<img src='https://upload.wikimedia.org/wikipedia/commons/1/14/O-2_Skymaster-1_%28cropped%29.jpg' height='150px' width='150px' />
OV-10 Bronco,<img src='https://upload.wikimedia.org/wikipedia/commons/3/36/NASA_OV-10.jpg' height='150px' width='150px' />
T-28 Trojan,<img src='https://upload.wikimedia.org/wikipedia/commons/4/4c/T-28B_VT-2_over_NAS_Whiting_Field_c1973.jpeg' height='150px' width='150px' />
U-10 Courier,<img src='https://upload.wikimedia.org/wikipedia/commons/8/82/HelioCourierNo1.jpg' height='150px' width='150px' />
